collaped_address,num_associated,latitude,longitude
100 BRUMELL AVE,28,43.61593765,-79.321369
800 EGLINTON AV E,2,43.61593765,-79.321369
300 DURIE ST,72,43.61593765,-79.321369
1700 NEILSON AVE,1,43.61593765,-79.321369
1000 EGLINTONA VE E,1,43.61593765,-79.321369
200A GALLOWAY RD,6,43.61593765,-79.321369
1200 QUEENS ST W,1,43.61593765,-79.321369
600 RENFORTH DR UNIT#100,1,43.61593765,-79.321369
300 BONIS AV P100 V100,7,43.61593765,-79.321369
100-100 DEAN PARK RD,1,43.61593765,-79.321369
100 DUNBLOOR AVE,1,43.61593765,-79.321369
100 ST DENNIS R,1,43.61593765,-79.321369
1300 ISLLINGTON AVE,1,43.61593765,-79.321369
100 NAPANEE CRT,13,43.61593765,-79.321369
200a LENNOX ST,1,43.61593765,-79.321369
200 WALKER AV,3,43.61593765,-79.321369
800 REXDALE BL,1,43.61593765,-79.321369
100 RAYOKE DR,1,43.61593765,-79.321369
100 KEBRAL AVE,11,43.61593765,-79.321369
200 MILLICENT STREET,1,43.61593765,-79.321369
1000 MORNINGSIDE AVE,2,43.61593765,-79.321369
100 ESTERBROOKE DR,2,43.61593765,-79.321369
400 CLINTON STREET,2,43.61593765,-79.321369
100 LESTERWOOD CRES,1,43.61593765,-79.321369
500 NAIRN AV,2,43.61593765,-79.321369
3100 FNICH AVE  W,1,43.61593765,-79.321369
700 ISABELLA ST,4,43.61593765,-79.321369
100 KATHERINE RD,27,43.61593765,-79.321369
700-700 SHEPPARD AV EAST,1,43.61593765,-79.321369
1000 KINGS T W,1,43.61593765,-79.321369
100 BRUNDEL AV,1,43.61593765,-79.321369
100 MILMINK ST,5,43.61593765,-79.321369
1300 ISLINGTON AVE   M100X 100Y100,1,43.61593765,-79.321369
100 LIVONIA PL UN 200,5,43.61593765,-79.321369
100 DALSBY RD,2,43.61593765,-79.321369
100 TRANBY AVE,82,43.61593765,-79.321369
100 VILLATA GDNS,21,43.61593765,-79.321369
600 CONCORDE PLACE,1,43.61593765,-79.321369
100i0 SPADINA AVE,1,43.61593765,-79.321369
100 HOLWOOD AVE,46,43.61593765,-79.321369
300 BANBURY RD,19,43.61593765,-79.321369
400 ADELAIDE STW,1,43.61593765,-79.321369
400 BROOKWELL DR,2,43.61593765,-79.321369
1000 GERRARD PL,1,43.61593765,-79.321369
6500 FINCH AVENEUE WEST,1,43.61593765,-79.321369
600 ROKER CRES,1,43.61593765,-79.321369
100 ORPINGTON CRES.,1,43.61593765,-79.321369
200 WILLIAM POOLE WAY,3,43.61593765,-79.321369
1600 LAKE SHORE BLVD E,6,43.61593765,-79.321369
100 WEBB AVE,41,43.61593765,-79.321369
100 FORVALLEY CRT,1,43.61593765,-79.321369
100!100 ELIZABETH ST,1,43.61593765,-79.321369
100p MC CAUL ST,1,43.61593765,-79.321369
\100 WELLESLEY ST W,1,43.61593765,-79.321369
100 AERODROME,1,43.61593765,-79.321369
1300 KITCHENER AVE,1,43.61593765,-79.321369
2300 EGLINTON VE EAST,1,43.61593765,-79.321369
700 MARINTGROVE RD,1,43.61593765,-79.321369
100 HARE GT,1,43.61593765,-79.321369
100 ROWNTREEE RD,2,43.61593765,-79.321369
100 MYRTLE AVE,61,43.61593765,-79.321369
300 HENRY LANE TERR,1,43.61593765,-79.321369
33400 BLOOR ST W,1,43.61593765,-79.321369
700 RICHMOND ST,4,43.61593765,-79.321369
300 VIRGINIA AVE,29,43.61593765,-79.321369
100 STRATHBURN BLVD,23,43.61593765,-79.321369
2700 SORAUREN AVE,1,43.61593765,-79.321369
100 CLAPPISON BL,1,43.61593765,-79.321369
100 CHICHESTER AV,1,43.61593765,-79.321369
700 MARKHAM ST,72,43.61593765,-79.321369
100 CELESTER DR,1,43.61593765,-79.321369
2700 EGLINTON AVE E,41,43.61593765,-79.321369
500 CARLETTWOOD CRT,1,43.61593765,-79.321369
1100 CRESCENT TOWN,1,43.6966718246,-79.293692547
2000 BLOOR ST W \,1,43.61593765,-79.321369
100 ULCHESTER ST,2,43.61593765,-79.321369
400 DUFFERINS T,2,43.61593765,-79.321369
100 OPRINGTON CRES,1,43.61593765,-79.321369
29000b BLOOR ST W,1,43.61593765,-79.321369
100 WYNFORD HEIGHTS  CRES,1,43.61593765,-79.321369
100 GLENMORE RD,91,43.61593765,-79.321369
100 TRINNITY ST,1,43.61593765,-79.321369
100 PAKRWAY FOREST DR,2,43.61593765,-79.321369
wu300 WOODFIELD RD,1,43.61593765,-79.321369
100a QUEEN VICTORIA ST,1,43.61593765,-79.321369
100a EARLSCOURT AVE,1,43.61593765,-79.321369
100.100 ARMADALE AVE,1,43.61593765,-79.321369
100 EVELYN WIGGNS DR,1,43.61593765,-79.321369
2100]100 QUEEN ST E,1,43.61593765,-79.321369
100 GEORGIAN CRT,19,43.61593765,-79.321369
300 CLEARVIEW HTS,1,43.61593765,-79.321369
100 HARRISON GORDON BLVD,1,43.61593765,-79.321369
5100 BAYVIEW ST,1,43.61593765,-79.321369
400ALTON TOWERS CIR,1,43.61593765,-79.321369
1000 PAPERBIRCH DR,1,43.61593765,-79.321369
200 JENOVES PL,2,43.61593765,-79.321369
100 DOGLEG CT,1,43.61593765,-79.321369
2000 AUGUSTA AVE,2,43.61593765,-79.321369
200 LOWTHER AVE,59,43.61593765,-79.321369
100 A HOLWOOD AVE,2,43.61593765,-79.321369
100 BELLEVUE RD,1,43.61593765,-79.321369
100 KNIGHT,1,43.61593765,-79.321369
1300 BANFORTH RD,1,43.61593765,-79.321369
200 MCCORMACK AVE,1,43.61593765,-79.321369
100 TEIGHMOUTH AV,2,43.61593765,-79.321369
1300 BENJAMIN BLVD,1,43.61593765,-79.321369
200 HARDCASTLE ST,1,43.61593765,-79.321369
100.100 MC GILL ST,2,43.61593765,-79.321369
100 AFTON AV,3,43.61593765,-79.321369
100 BATAWA CR,1,43.61593765,-79.321369
200 DEWSON ST,13,43.61593765,-79.321369
100 WIDDICOMBE HILLS BLVD,2,43.61593765,-79.321369
200 TOFIELD CRES,1,43.61593765,-79.321369
100 LOMBATF DY   QQQQ,1,43.61593765,-79.321369
200 COLBORNE ST,4,43.61593765,-79.321369
200 LINLY LOU RD,1,43.61593765,-79.321369
200 MBRIDLETOWN  CIRCLE,1,43.61593765,-79.321369
100 SUMMERLAND TR,2,43.61593765,-79.321369
4200 MENTOR BLVD,1,43.61593765,-79.321369
300 DUNDAS ST,3,43.61593765,-79.321369
200 WST LODGE AV,1,43.61593765,-79.321369
5400 DUNDA ST W,2,43.61593765,-79.321369
5400 SHEPPARD AVE E,3,43.61593765,-79.321369
1300 DELISLE AVE,1,43.61593765,-79.321369
100  TELEGRAM MEWS,1,43.61593765,-79.321369
300 REINER RD,31,43.61593765,-79.321369
400 WILCAT RD,1,43.61593765,-79.321369
800 VICTORIA DR,1,43.61593765,-79.321369
1100' BLOOR ST W,2,43.61593765,-79.321369
100 TREELAWN PKWY,37,43.61593765,-79.321369
100 THIRTEENTH STR,1,43.61593765,-79.321369
300 COLGATE AVE,8,43.61593765,-79.321369
1200 LAWRENCE AV W,1,43.61593765,-79.321369
800a GERRARD ST E,1,43.61593765,-79.321369
400 THOME CRES,1,43.61593765,-79.321369
100 DLEISLE AV,1,43.61593765,-79.321369
200 BLACKFRIAR AVE,9,43.61593765,-79.321369
